Sku id,Invoice No.,วันที่,เวลา,รหัสสินค้า,Serial,ชื่อสินค้า,กลุ่มสินค้า,จำนวน,Ratio,ราคา/หน่วย,รวมก่อนลด,ส่วนลด,รวมสุทธิ,ต้นทุนรวม,กำไร,ลูกค้า,พนักงาน,status,หมายเลขประจำเครื่อง
171106711 PMzm4mTh4JDja9OV4fdhFu,PS001000001,11/9/17,12:10,4.90243E+12,,ดาวน์นี่ ซักผ้า#ผง-แดร์ริ่ง ไชน์ 68g,Cleaners,2,1,10,20,0,20,0,0,,Admin,A,1
u116,PS001000002,11/9/17,12:10,4.90243E+12,,ดาวน์นี่-แพชชั่น#ถุง 370ml,Cleaners,1,1,42,42,0,42,37,5,,Admin,A,1
a029,PS001000003,11/9/17,12:12,8.85868E+12,,ปู แดง หิ้วบางเหนียว 6x11 100pc.,Plastic bags,2,1,9,18,0,18,11,7,,Admin,A,1
171106748 PMyeulYPzPS9S5z9MpMqhC,PS001000004,11/9/17,12:13,8.8504E+12,,ย้อมผม Berina A1,Beauty,2,1,38,76,0,76,45,31,,Admin,A,1
c007,PS001000005,11/9/17,12:14,8.8533E+12,,วิสกัสเพาซ์-ทูน่า 85g,Pet,3,1,15,45,0,45,36,9,,Admin,A,1
fs003,PS001000006,11/9/17,12:16,8.85081E+12,,Sakura - อาหารปลา 100 g,Pet,2,1,36,72,0,72,46.6,25.4,,Admin,A,1
171106820 PMO5wvgXSZYpu9Na8s54uK,PS001000007,11/9/17,13:38,8.8504E+12,,ย้อมผม Berina A33,Beauty,1,1,60,60,0,60,40,20,,Admin,A,1
171106807 PMWOjdTIkwltOKlhHamN6f,PS001000007,11/9/17,13:38,8.8504E+12,,ย้อมผม Berina A21,Beauty,1,1,50,50,0,50,35.5,14.5,,Admin,A,1
f009,PS001000008,11/9/17,13:40,8.85175E+12,,มอคโคน่า ทริโอ-เอสเพรสโซ่ 18g,Food,1,1,5,5,0,5,3,2,,Admin,A,1
c042,PS001000009,11/9/17,13:41,8.85048E+12,,me-o แมวโต-ปลาทู 450g,Pet,1,1,53,53,0,53,45,8,,Admin,A,1
c021,PS001000010,11/9/17,15:30,8.8533E+12,,วิสกัสเม็ด-ปลาทู 480g,Pet,1,1,55,55,0,55,48,7,,Admin,A,1
u121,PS001000011,11/9/17,17:43,4.90243E+12,,ดาวน์นี่-ซันไรซ์เฟรช#ถุง 400ml,Cleaners,1,1,40,40,0,40,32.2,7.8,,Admin,A,1
c009,PS001000012,11/9/17,18:23,8.8533E+12,,วิสกัส-ปลาทูน่า กป. 400g,Pet,1,1,40,40,0,40,35,5,,Admin,A,1
c013,PS001000013,11/9/17,20:04,8.8533E+12,,วิสกัสเม็ด-ปลาทูน่า 3kg,Pet,1,1,270,270,0,270,236,34,,Admin,A,1
u127,PS001000014,11/9/17,22:28,8.85009E+12,,ไฮยีน-ปรับ Ocean Blue 600ml,Cleaners,3,1,17,51,0,51,42,9,,Admin,A,1
c004,PS001000015,11/9/17,22:37,8.8533E+12,,วิสกัสเพาซ์-ปลาทู 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
c005,PS001000015,11/9/17,22:37,8.8533E+12,,วิสกัสเพาซ์-ปลาทู+แซลมอน 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
c008,PS001000015,11/9/17,22:37,8.8533E+12,,วิสกัสเพาซ์-ทูน่า+ปลาเนื้อขาว 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
c006,PS001000015,11/9/17,22:37,8.8533E+12,,วิสกัสเพ้าส์-ปลาซาบะย่าง 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
c016,PS001000015,11/9/17,22:37,9.31002E+12,,วิสกัสเม็ด-ปลาทูน่า 1.2kg,Pet,1,1,125,125,0,125,106,19,,Admin,A,1
c001,PS001000016,11/9/17,22:37,8.8533E+12,,วิสกัสเพาซ์-ทูน่า ลูกแมว 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
f046,PS001000017,11/10/17,10:23,8.85025E+12,,รสดี-รสหมู 165g,Food,1,1,25,25,0,25,21.2,3.8,,Admin,A,1
f057,PS001000017,11/10/17,10:23,8.85025E+12,,อายิโนะโมะโต๊ะ 85g,Food,1,1,10,10,0,10,8.75,1.25,,Admin,A,1
f010,PS001000018,11/10/17,10:24,8.85175E+12,,มอคโคน่า ทริโอ-คลาสสิค 18g,Food,1,1,5,5,0,5,3,2,,Admin,A,1
171108850 PMU5Gvg6Rx8GQsakmeWsFz,PS001000019,11/10/17,10:24,8.85012E+12,,เนสกาแฟ 3in1 เขียว 17.5g,Food,7,1,4.29,30,0,30,21,9,,Admin,A,1
171107515 PMDj8x6EZwCmUYdJfcXkzV,PS001000020,11/10/17,11:20,4.90243E+12,,แชมพูรีจอยส์#ซอฟท์&สมูท 70ml,Personal Care,1,1,20,20,0,20,15,5,,Admin,A,1
d005,PS001000021,11/10/17,11:40,93370868,,ซีซาร์-เนื้อแกะ 100g,Pet,1,1,40,40,0,40,0,0,,Admin,A,1
d006,PS001000021,11/10/17,11:40,93362986,,ซีซาร์-เนื้อวัวและตับ 100g,Pet,1,1,40,40,0,40,0,0,,Admin,A,1
d007,PS001000021,11/10/17,11:40,93362979,,ซีซาร์-เนื้อวัวและผักรวม 100g,Pet,1,1,40,40,0,40,35,5,,Admin,A,1
d009,PS001000021,11/10/17,11:40,9.33421E+12,,ซีซาร์-ตับบด 100g,Pet,2,1,40,80,0,80,70,10,,Admin,A,1
171106752 PMInzxhl9D2dTPvg4057Qr,PS001000022,11/10/17,12:15,8.8504E+12,,ย้อมผม Berina A2,Beauty,1,1,42,42,0,42,24.2,17.8,,Admin,A,1
u161,PS001000023,11/10/17,12:52,8.8503E+12,,Scotch-Brite 3M-แผ่นใยขัด,Cleaners,1,1,14,14,0,14,9,5,,Admin,A,1
171107208 PMgAskUoaeg5x6AYpELvKn,PS001000023,11/10/17,12:52,8.85001E+12,,สบู่แคร์#เบบี้ สปา 75g,Personal Care,1,1,14,14,0,14,10.7,3.3,,Admin,A,1
c004,PS001000024,11/10/17,15:23,8.8533E+12,,วิสกัสเพาซ์-ปลาทู 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
c004,PS001000024,11/10/17,15:23,8.8533E+12,,วิสกัสเพาซ์-ปลาทู 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
c021,PS001000024,11/10/17,15:23,8.8533E+12,,วิสกัสเม็ด-ปลาทู 480g,Pet,1,1,55,55,0,55,48,7,,Admin,A,1
c027,PS001000025,11/10/17,17:42,8.85048E+12,,me-o เพาซ์ #ทูน่า 80g,Pet,1,1,15,15,0,15,11.25,3.75,,Admin,A,1
c027,PS001000026,11/10/17,19:16,8.85048E+12,,me-o เพาซ์ #ทูน่า 80g,Pet,4,1,15,60,0,60,45,15,,Admin,A,1
c040,PS001000027,11/10/17,19:23,8.85048E+12,,me-o แมวโต-ซีฟู้ด 450g,Pet,1,1,53,53,0,53,45,8,,Admin,A,1
c001,PS001000027,11/10/17,19:23,8.8533E+12,,วิสกัสเพาซ์-ทูน่า ลูกแมว 85g,Pet,2,1,15,30,0,30,24,6,,Admin,A,1
c035,PS001000028,11/10/17,19:26,8.85048E+12,,me-o แมวโต-ปลาทู 1.3kg,Pet,1,1,120,120,0,120,106,14,,Admin,A,1
1711071113 AM9s3GBfLbU3H1PW674OZG,PS001000029,11/10/17,20:01,8.85193E+12,,โอโม พลัส พิเศษ 220g,Cleaners,1,1,18,18,0,18,13.7,4.3,,Admin,A,1
1711071111 AMejgjSj41HL6RfFoj5uDQ,PS001000030,11/11/17,9:21,8.85193E+12,,โอโม พิเศษ 900g,Cleaners,1,1,40,40,0,40,35.5,4.5,,Admin,A,1
u110,PS001000030,11/11/17,9:21,8.85E+12,,ไลปอนเอฟ ถุงเติม 550ml,Cleaners,1,1,23,23,0,23,16.3,6.7,,Admin,A,1
171106748 PMyeulYPzPS9S5z9MpMqhC,PS001000031,11/11/17,9:22,8.8504E+12,,ย้อมผม Berina A1,Beauty,1,1,38,38,0,38,22.5,15.5,,Admin,A,1
c010,PS001000032,11/11/17,9:33,9.31002E+12,,วิสกัส-ปลาทู+ปลาซาดีน กป. 400g,Pet,1,1,40,40,0,40,35,5,,Admin,A,1
171106746 PMROIPhUIass0F2MW59KTk,PS001000033,11/11/17,10:04,8.85051E+12,,ออด๊าซ-ครีมย้อมผม สีดำ 25ml Cream,Beauty,1,1,40,40,0,40,32.5,7.5,,Admin,A,1
f009,PS001000034,11/11/17,10:38,8.85175E+12,,มอคโคน่า ทริโอ-เอสเพรสโซ่ 18g,Food,60,1,3.17,190,0,190,180,10,,Admin,A,1
fs009,PS001000035,11/11/17,11:38,8.85712E+12,,Tokyu - ลูกน้ำอัดเม็ด 20g,Pet,1,1,11,11,0,11,6.25,4.75,,Admin,A,1
c005,PS001000036,11/11/17,13:29,8.8533E+12,,วิสกัสเพาซ์-ปลาทู+แซลมอน 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
c008,PS001000036,11/11/17,13:29,8.8533E+12,,วิสกัสเพาซ์-ทูน่า+ปลาเนื้อขาว 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
c006,PS001000036,11/11/17,13:29,8.8533E+12,,วิสกัสเพ้าส์-ปลาซาบะย่าง 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
1711071025 AMwP4F0iTNdcRTOjg2HsdF,PS001000037,11/11/17,14:22,8.85193E+12,,คอมฟอร์ท-ปรับ ชมพู ดอกไม้หอมยามเช้า 580ml,Cleaners,2,1,18,36,0,36,26.6,9.4,,Admin,A,1
1711111138 AMilwJbbR2QChLy3RmDhvA,PS001000038,11/11/17,14:37,8.8508E+12,,ใบชาสามม้า #3 80g,Food,1,1,25,25,0,25,20,5,,Admin,A,1
f079,PS001000038,11/11/17,14:37,8.85037E+12,,วุ้นเส้น ตราต้นถั่ว 80g,Food,1,1,13,13,0,13,9.7,3.3,,Admin,A,1
f074,PS001000039,11/11/17,14:52,8.85025E+12,,ยำยำจัมโบ้-หมูสับ 67g,Food,1,1,6,6,0,6,5.5,0.5,,Admin,A,1
a001,PS001000040,11/11/17,16:02,8.85868E+12,,ตราปู ร้อนใส 3x5 200g,Plastic bags,1,1,18,18,0,18,12.3,5.7,,Admin,A,1
f068,PS001000041,11/11/17,16:56,8.85099E+12,,มาม่า-ต้มยำกุ้ง 55g,Food,1,1,6,6,0,6,5.5,0.5,,Admin,A,1
171110609 PMwEnKXKtZrhqi3b57WJIA,PS001000042,11/11/17,17:06,B3045,,ไม้กวาด กทม สั้น,Cleaners,1,1,45,45,0,45,30,15,,Admin,A,1
c007,PS001000043,11/11/17,17:19,8.8533E+12,,วิสกัสเพาซ์-ทูน่า 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
c005,PS001000043,11/11/17,17:19,8.8533E+12,,วิสกัสเพาซ์-ปลาทู+แซลมอน 85g,Pet,1,1,15,15,0,15,12,3,,Admin,A,1
fs002,PS001000044,11/11/17,17:58,8.85081E+12,,Sakura - อาหารปลา 50 g,Pet,1,1,24,24,0,24,15,9,,Admin,A,1
d035,PS001000045,11/11/17,18:07,8.85048E+12,,สมาร์ทฮาร์ท โกลด์-เล็ก Fit7+ 500g,Pet,1,1,85,85,0,85,71,14,,Admin,A,1
c023,PS001000045,11/11/17,18:07,8.8533E+12,,วิสกัสเม็ดจูเนียร์-ทะเล+นม 450g,Pet,1,1,55,55,0,55,48,7,,Admin,A,1
u122,PS001000045,11/11/17,18:07,4.90243E+12,,ดาวน์นี่-มิสทีค#ถุง 125ml,Cleaners,1,1,20,20,0,20,15,5,,Admin,A,1
c004,PS001000046,11/11/17,18:15,8.8533E+12,,วิสกัสเพาซ์-ปลาทู 85g,Pet,2,1,15,30,0,30,24,6,,Admin,A,1
d022,PS001000047,11/11/17,20:24,8.8533E+12,,เพดดีกรี-ไก่และตับชิ้น 130g,Pet,1,1,23,23,0,23,16.7,6.3,,Admin,A,1
f052,PS001000048,11/12/17,8:14,8.85051E+12,,โรซ่า-ซอสมะเขือเทศ 300g,Food,1,1,20,20,0,20,17,3,,Admin,A,1
f078,PS001000048,11/12/17,8:14,8.8501E+12,,ไวไว-เส้นหมี่อบแห้ง 180g,Food,1,1,13,13,0,13,10,3,,Admin,A,1
1711081006 PMcjIZiVX410AsuheZ8Zth,PS001000048,11/12/17,8:14,8.85382E+12,,ปลามังกร แป้งมันสำปะหลัง 480g,Food,1,1,16,16,0,16,13.8,2.2,,Admin,A,1
171106706 PMBW010VKPGrqAiOwg7YqZ,PS001000049,11/12/17,9:08,4.90243E+12,,ดาวน์นี่ ซักผ้า-แดร์ริ่ง ไชน์#ถุง 300ml,Cleaners,1,1,47,47,0,47,41.2,5.8,,Admin,A,1
171110405 PMJ8cslkcyJdXF6jnceSs8,PS001000050,11/12/17,9:30,8.85109E+12,,กิ๊บหนีบผ้า SMP พลาสติก 18pc,Personal Care,1,1,15,15,0,15,8,7,,Admin,A,1
171106752 PMInzxhl9D2dTPvg4057Qr,PS001000051,11/12/17,9:30,8.8504E+12,,ย้อมผม Berina A2,Beauty,1,1,42,42,0,42,24.2,17.8,,Admin,A,1
c053,PS001000052,11/12/17,9:53,8.85513E+12,,Kat-To ทรายแมว เลมอน 10L,Pet,1,1,160,160,0,160,110.67,49.33,,Admin,A,1
d021,PS001000053,11/12/17,10:33,8.8533E+12,,เพดดีกรี-ไก่ชิ้น 130g,Pet,1,1,23,23,0,23,16.7,6.3,,Admin,A,1
171106752 PMInzxhl9D2dTPvg4057Qr,PS001000053,11/12/17,10:33,8.8504E+12,,ย้อมผม Berina A2,Beauty,1,1,42,42,0,42,24.2,17.8,,Admin,A,1
d031,PS001000054,11/12/17,10:33,8.85048E+12,,สมาร์ทฮาร์ท-เล็ก ไก่และตับ 500g,Pet,1,1,58,58,0,58,50.5,7.5,,Admin,A,1
171106711 PMzm4mTh4JDja9OV4fdhFu,PS001000055,11/12/17,10:52,4.90243E+12,,ดาวน์นี่ ซักผ้า#ผง-แดร์ริ่ง ไชน์ 68g,Cleaners,2,1,10,20,0,20,16,4,,Admin,A,1
171106808 PMA4NSgssAItbFAbhRShwE,PS001000056,11/12/17,11:30,8.8504E+12,,ย้อมผม Berina A22,Beauty,1,1,50,50,0,50,35.5,14.5,,Admin,A,1
171106822 PMIsV6wxhqhg7qu0uC6KUW,PS001000056,11/12/17,11:30,8.8504E+12,,ย้อมผม Berina A36,Beauty,1,1,60,60,0,60,40,20,,Admin,A,1
k350,PS001000057,11/12/17,11:45,8.85147E+12,,ทิฟฟี่ เดย์ 4เม็ด,Medicine,1,1,8,8,0,8,6,2,,Admin,A,1
d006,PS001000058,11/12/17,12:15,93362986,,ซีซาร์-เนื้อวัวและตับ 100g,Pet,1,1,40,40,0,40,35,5,,Admin,A,1
d005,PS001000058,11/12/17,12:15,93370868,,ซีซาร์-เนื้อแกะ 100g,Pet,1,1,40,40,0,40,35,5,,Admin,A,1
d007,PS001000058,11/12/17,12:15,93362979,,ซีซาร์-เนื้อวัวและผักรวม 100g,Pet,1,1,40,40,0,40,35,5,,Admin,A,1
k350,PS001000059,11/12/17,13:19,8.85147E+12,,ทิฟฟี่ เดย์ 4เม็ด,Medicine,1,1,8,8,0,8,6,2,,Admin,A,1
